Description,Category,Categories
brebner changala ha strongly condemned arrest detention veteran journalist kasebamashilakaseba saturday allegedly defaming mark simuuwe upnd consultant columnist one daily broadsheet,other,development
lusaka zambia 11 march 2024 liquid intelligent technology liquid business cassava technology panafrican technology group pleased announce ha signed memorandum understanding mou united nation development programme undp provide fibre internet connection mukuba unipod innovation lab located copperbelt university 8230,business,"education, development, business news"
michael miyoba football association zambia faz president andrew kamanga ha hailed faz copperbelt finding sponsorship payment referee lower division match speech read faz vicepresident justin mumba faz copperbelt provincial annual general meeting held moba hotel kitwe kamanga said 8230,sports,"sports, politics"
police upnd cadre yesterday various part country blocked multitude patriotic front pf united kwacha alliance uka participating international women’s day completely dwarfing governing party upnd,other,uncategorized
kitwe based clergyman reverend charles chelenshya ha appealed government expedite konkola copper mine kcm transition process ensuring scheme arrangement concluded month,politics,politics
kitwe giant nkana fc outclassed trident fc 21 week23 faz super league fixture independence stadium solwezi escape relegation zone,education,uncategorized
losing firstround fixture 31 green buffalo lusaka power dynamo seek revenge host buffalo week23 faz super league fixture arthur davy stadium kitwe,other,uncategorized
truck belonging yuan cheng international logistics company lusaka ha extensively damaged caught fire around 0900hours along mufulirakitwe road way democratic republic congo drc,business,"development, business news"
zambia wake party leader howard kunda ha challenged acting minister mine mineral development charles milupi name 18 000 youth benefitted black mountain 30 percent share,politics,"politics, development"
osward mutapa began reign power dynamo coach impressive note handing green eagle one worst defeat season following 40 bashing week21 fixture independence stadium choma,other,uncategorized
patriotic front pf chimwemwe constituency youth chairman bernard ngoma wa saturday afternoon rushed kitwe teaching hospital kth multiple injury resident sent scampering safety caught fracas involving two upnd cadre fighting money realised sale chrome gotten black mountain kitwe,health,health and wellness
kitwebased clergyman ha wondered government ha delayed conclude full takeover konkola copper mine kcm vendanta resource,politics,politics
90 shop chisokone market kitwe demolished combined team kitwe city council zambia police service,sports,"local news, economy news"
quest survive relegation battle faz super league resume relegation threatened nkana fc beefed squad signing chinga chitoshi congolese christopher ilondo itaka veteran ronald ‘sate sate’ kampamba,other,uncategorized
state witness told lusaka magistrate court duty wa talk gibson power system limited bought bell 430 jet ranger helicopter former foreign affair minister joseph malanji,politics,politics
worker grn construction company engaged konkola copper mine kcm gone three month without paid,business,"development, career, business news"
rogers kalero160 police antirobbery squad kitwe gunned four suspected notorious criminal behind spate aggravated robbery filing station october 2023 january 2024 recovered ak 47 assault rifle eight round live ammunition lap top wa stolen 8230,other,uncategorized
upnd cadre kitwe go rampage illegal allocation land following decision ministry land revoke land agency kitwe city council kcc ndeke ward councillor davy kasengele ha said,local news,local news
veil secrecy surround agreement government signed vedanta resource plc causing consternation among miner key stakeholder reason government must disclose detail agreement suggested mineworker union zambia muz president joseph chewe miner well 8230,politics,"politics, career"
kitwe city council kcc reportedly set demolish 200 structure frontage green market chisokone market decision ha left trader infuriated leading summoning king church pastor duncan simuchimba police,business,"local news, economy news"
garry nkombo minister local government rural development ha suspended kitwe city council kcc resolution confer former kitwe mayor christopher kangombe status alderman along former deputy evaristo chilufya,politics,"politics, development, local news"
k45 000 spent construction shelter bench national registration department waiting issued national registration card nrc get soaked rain rainy season getting scorched heat sun hot season kitwe deputy mayor felix malasha ha announced,other,development
cfao motor zambia ha put market range companyowned maintained vehicle general public offered unbeatable promotional price,business,"economy news, business news"
muchtalked constituency development fund cdf nothing conduit upnd cadre make money project poorly done also completed time’ people’s prosperity advocate president mwenya musenge ha said,local news,"politics, development"
president hakainde hichilema’s appeal people plan migration rural urban area ha received mixed feeling,local news,politics
southern africa development community sadc truck driver association calling government address security safety concern truck driver country,politics,"politics, development, local news"
kitwe city council kcc ha formed cholera prevention task force team among thing assist gathering information carrying preventive measure well mitigating spread disease,sports,"health and wellness, local news"
independent councillor kitwe puppet political party sink low allow used fight personal political battle ruling upnd suit ndeke ward councillor davy kasengele ha said,politics,uncategorized
several hundred passenger yesterday stranded kitwe bus drive parked bus protest cadre harassing extorting money name ruling party,other,uncategorized
army worm invaded 652 hectare maize field kitwe affecting 16 farming camp district,other,uncategorized
zambia ha become extremely hungry country upnd ha comprehensively messed agriculture sector failure deliver farming input time sector ha also experienced worst form corruption awarding tender procurement delivery fertilizer input fred m’membe ha said,entertainment,uncategorized
clear latest outbreak cholera rapidly spreading across country ha caught health authority surprise,health,health and wellness
mine worker union perceived engaging politics inciting member rise government speak dilemma member delay operationalisation konkola copper mine kcm mopani copper mine mcm saul simujika ha said,politics,"politics, career"
cholera ha continued spread across country ha last 24 hour claimed 23 life bringing total dead 150 forcing government convert national hero stadium cholera center township health center failing cope,politics,"politics, health and wellness, local news"
kitwe district copperbelt province ha recorded suspected cholera case,other,uncategorized
two contractor chimwemwe constituency awarded contract grade road reportedly abandoned site paid part money constituency development fund cdf ha disclosed,entertainment,development
upnd councillor friday walked forth ordinary council meeting wa proposed former kitwe mayor kamfinsa member parliament mp christopher kang’ombe installed alderman along former deputy mayor evaristo chilufya,politics,politics
kitwe mayor mpasa mwaya ha said local authority ha made tremendous stride fulfilling government’s desire implementation constituency development fund cdf therefore remains committed ensuring project done completed time,politics,"politics, development, local news"
kitwe mayor mpasa mwaya ha said continue marshal courage determination desire serve resident kitwe face heavy provocation upnd interest ensure local authority improves service delivery,local news,local news
red arrow ha qualified 2024 absa cup coming behind beat mutondo star 31 week17 fixture played nkoloma stadium lusaka,other,uncategorized
losing military derby last weekend rival green eagle red arrow today seek redemption host giant killer mutondo star week17 mtn zambia super league match nkoloma stadium lusaka,sports,uncategorized
chief nkana lamba people ha sued anticorruption commission acc challenging seizure notice placed us3million worth bank account,other,uncategorized
mining sector managed motivated guided towards achieving economic recovery national development would ultimately result national prosperity zambian would able benefit employment business opportunities’’ private sector development association zambia psdaz programme director esther banda ha said,business,"development, career, economy news, business news"
five game winless streak kabwe warrior bounced back winning way stunning kitwe giant nkana fc 10 week16 mtn zambia super league fixture played empty nkana stadium kitwe,other,uncategorized
opposition economic freedom fighter eff secretary general changala siame ha complained may lose sense hearing result battering suffered hand upnd cadre sunday last week brutally assaulted president kasonde mwenda abducted dumped riverside police station kitwe,local news,"politics, career, economy news"
batuke imenda upnd secretary general ha exhibited respect rule law true leadership strongly chastising zambia police disrupting kasonde mwenda’s press briefing kitwe ruling party cadre assaulting abducting economic freedom fighter eff leader sunday week sakwiba sikota sc ha said,economy,economy news
batuke imenda upnd secretarygeneral commended breaking rank colleague admitting indeed something amiss operation zambia police,other,narcotics
batuke imenda upnd secretary general ha strongly condemned rogue behaviour zambia police attacking kasonde mwenda economic freedom fighter eff president whose medium briefing kitwe wa disrupted ground get police permit interaction medium,local news,"politics, economy news"
zambia civil liberty union founder isaac mwanza ha written director public prosecution dpp grant consent prosecute police officer attacked economic freedom fighter leader kasonde mwenda kitwe sunday press briefing,economy,economy news
medium owner association zambia moaz disturbed uncalled harassment flava fm hope tv yar fm journalist police officer press briefing kitwe monday,other,uncategorized
fact kasonde mwenda wa assaulted kitwe suspected cadre ruling united party national development,other,development
economic front effleader kasonde mwenda ha confirmed attack occured sunday secretary ha perforated ear,economy,economy news
misa zambia ha condemned zambia police harassing journalist yesterday covering economic freedom fighter eff press briefing kitwe,economy,economy news
horde rowdy unruly upnd cadre yesterday trailed ambushed abducted beat economic freedom fighter eff kasonde mwenda entourage dumping riverside police station,economy,economy news
kitwe association person disability ha urged parliament revisit decision reject motion advocating inclusion braille writing sign language optional subject school,politics,"politics, education"
zambia grappling significant challenge posed illegal bushmeat trade grave threat wildlife population escalating demand bushmeat urban market ha fuelled increasingly organised commercial illegal trade shockingly 2017 report un food agriculture organisation estimated consumption,business,economy news
christopher kangombe ha vowed amount intimidation harassment shall cow silence continue representing people kanfinsa constituency ability mandate shall end 2026,other,uncategorized
international labour organisation ilo country office director zambia malawi mozambique wellington chibebe ha said understanding occupation skill demand future mining crucial sustainability sector competitiveness country,other,uncategorized
tragedy ha happened senseli mine chingola indeed political issue sad incident affect every zambian,politics,uncategorized
opposition political party “mass rally” wa scheduled take place december 9 ha postponed following accident sensele mine 30 miner buried alive feared dead,politics,career
world bank ha disclosed plan introduce credit line small business zambia,business,business news
ndola giant zesco united opened two point lead summit mtn zambia super league table coming behind beat struggling nkana fc 31 closely contested clash titan played levy mwanawasa stadium ndola,other,uncategorized
two consecutive defeat kansanshi dynamo green eagle kabwe warrior today seek redemption host sensational zanaco fc week13 mtn zambia super league clash godfrey chitalu stadium kabwe,other,uncategorized
barely two day zambia national service zn shot dead 15year old boy crispin bunda mufulira zambia army clashed suspected smuggler maria chimona area near masaiti shooting wounding suspected smuggler,other,uncategorized
security guard fretcher mwansa 24 chimwemwe township kitwe yesterday appeared lusaka magistrate court allegedly defaming president hakainde hichilema denied charge,local news,"politics, local news"
bus owner copperbelt complained low cashing arising described harsh economy country,economy,economy news
kitwe city council kcc ha mobilized resource unblock drainage system chisokone nakadoli others market district ensure marketeers trade clean healthy environment also avoid possible l outbreak epidemiccouncil public relation manager mwaka nakweti ha said,business,"health and wellness, local news, economy news"
road development agency rda ha extolled partnership japan international cooperation agency jica ensuring capacity enhanced towards bridge maintenance zambia,local news,"development, local news"
zambia revenue authority zra ha seized k25 million cash us25000 cash good time steel company kitwe allegedly money laundering financial crime,business,business news
former president edgar lungu yesterday sent soccer fan enthusiast frenzy made announced appearance woodland stadium watch electric derby nkana power dynamo two rival giant zambian football,sports,"sports, politics"
upnd may succeed use police judiciary parliament silence political rival certainly defeat resolve majority zambian come realise hakainde hichilema administration failed project abandoned socialist party ha said,politics,politics
red arrow reclaimed top spot mtn zambia super league table humiliating green buffalo 41 electric military derby played sunset stadium lusaka,other,uncategorized
high flying nkwazi fc derailed muza fc claiming top spot super league table handing mazabukabased super league outfit first defeat season winning 21 edwin imboela stadium lusaka,other,uncategorized
nkana fc coach ian bakala say doesn’t regret joining kitwe giant languishing relegation zone mtn zambia super league picking one win eight match since took,sports,uncategorized
kitwe bullet ended search first win new faz premier futsal league season beating green buffalo 41 week5 fixture played weekend automotive indoor futsal arena,other,uncategorized
president hakainde hichilema’s legal advisor christopher mundia ha accused abuse authority using influence state house collect debt using law firm cl mundiya 038 company behalf company owed money konkola copper mine kcm,business,"politics, business news"
copperbelt energy corporation cec aiming generating approximately 230 mega watt solar energy 2027 always demonstrate keen commitment clean green energy transition investment renewable energy commenced 2018 pilot 1mw solar photovoltaic pv plant,business,business news
relegation threatened nkana fc returned default setting following 31 beating high flying nkwazi fc week10 fixture woodland stadium lusaka,other,uncategorized
…go top league wada chicken george settle stalemate,other,uncategorized
experienced gaffer wedson nyirenda “chicken” george lwandamina face today sensational zanaco fc zesco united renew rivalry mtn zambia premier league’s week10 fixture,other,uncategorized
possible zambia 200 heavily armed police officer protect social retreat unless organ government vested interest event kamfinsa member parliament christopher kang’ombe ha said,politics,politics
china zambia enjoyed long standing relationship ha seen chinese government private sector investing various sector economy meant benefit zambian business job opportunity,politics,"politics, career, economy news, business news"
functional democracy various political party – governing opposition – often try reach common ground try meet aspiration people,politics,career
power dynamo coach mwenya chipepo ha predicted tough much mtn zambia super league leader red arrow next weekend,other,uncategorized
kitwe bullet coach witson nyirenda say team bounce back struggling two defeat two draw first four match faz premier futsal league fazpfl,sports,uncategorized
resident parkland residential area kitwe spending night park along nationalist road stop chinese investor constructing casino,local news,development
power dynamo coach mwenya chipepo expressed displeasure team’s failure bounce back winning way following 11 draw sensational zanaco fc week9 mtn zambia super league fixture played yesterday arthur davy stadium kitwe,sports,uncategorized
mtn zambia super league enters ninth round follower zambian game asking kitwe giant nkana fc able recover collect first win season face prison leopard struggling five defeat three draw first eight game,other,uncategorized
former nkana fc coach beston chambeshi ha advised club work hard find winning formula going eight game without win,other,career
vedanta resource ha denied claim armtwisting government making tax holiday demand hence making konkola copper mine kcm deal verbal unsigned,politics,politics
female kitwe city council kcc police officer wa thursday last week lynched mob irate street vendor tried grab confiscate merchandise one colleague wa selling,local news,local news
green buffalo propelled second faz premier futsal league table humiliating newly promoted mthunzi futsal club 123 week3 fixture played thursday night automotive indoor futsal arena,other,uncategorized
first quantum mineral fqm disheartened deliberate burning forest landscape grassland adopted mine environmental conservation citizen,other,uncategorized
nkana water supply sanitation company limited nwsc ha far replaced 1000 prepaid meter water utility company ha lost theft rampant vandalism nwsc director commercial service maybin mulenga ha said,business,business news
faz premier futsal league defending champion lusaka automotive started title defence exciting 252 victory promoted mtunzi futsal club week1 fixture played saturday,other,uncategorized
patriotic front pf ha bragged ha remained united strong political formation despite lost power upnd 2021 general election saw president hakainde hichilema ascend presidency landslide victory,politics,politics
fire green eagle coach alex namazaba wa given threegame ultimatum wa able breathe sigh relief charge came behind beat forest ranger 21 week7 mtn super league fixture independence stadium choma,other,uncategorized
vedanta resource ltd ha applauded coming ‘community trust’ initiative order coordinate corporate social responsibility programme,local news,local news
secretary treasury felix nkulukusa ha challenged commercial bank explain interest rate continued remain high despite government stopped borrowing local market,politics,"politics, local news, economy news"
patriotic front pf musonda ward councillor katai muposhi ndeke ward counterpart davy kasengele angry upnd cadre allegedly attacking kitwe mayor mpasa mwaya accusing frustrating government programme,politics,politics
anticorruption commission acc ha arrested copperbelt university cbu lecturer corrupt practice involving sexual gratification,education,education
“mighty” mufulira wanderer nkana fc boast biggest fan base country today two giant renew rivalry intriguing mtnfaz super league fixture shinde stadium mufulira,other,uncategorized
zambia institute certified accountant zica ha said need controlled audit constituency development fund cdf ensure accountability transparency public fund order gain hold public confidence among stakeholder,other,development
kitwe mayor mpasa mwaya ha said bilateral business relationship potential increase trade investment participating country drive economic growth enhance market opportunity facilitate knowledge exchange,business,"career, economy news, business news"
government ha launched k32 million water reticulation plumbing work kitwe teaching kth project aimed creating clean competent caring environment patient health care provider,politics,"politics, health and wellness, career"
people copperbelt love upnd government ha lived expectation copperbelt province minister elisha matambo ha said,politics,politics
k1 million spent construction luanshimba bridge connects luangwa luto ward mostly used farmer mourner zambia national service zn area,other,development
premier futsal league pfl ha confirmed new football association zambia fazpfl season resume thursday october 5th defending champion lusaka automotive facing promoted mthunzi futsal club week1 fixture automotive indoor futsal arena,sports,sports
kitwe giant nkana fc maintained bottom position mtnfaz super league table failing beat fellow struggler trident fc week6 fixture played yesterday woodland stadium lusaka,other,career
zambian champion power dynamo eliminated form caf champion league 33 aggregate stalemate tanzanian champion simba sport club fortunate march group stage thanks away goal rulezambian champion power dynamo eliminated form caf champion league 33 aggregate stalemate tanzanian champion simba sport club fortunate march group stage thanks away goal rule,sports,uncategorized
napsa star coach perry mutapa ha declared charge game today’s crunch tie midland rival red arrow fc,other,uncategorized
apart helping youth become independent youth entrepreneurship help promote economic growth provides access good service improves overall standard living creation new value economy nation one youth contributing growth country economy clement kangwa known clothing business world clemy zm young energetic entrepreneur ceo proprietor clothing label tagged jehovah blessed hustle,business,"fashion, economy news, business news"
napsa star quest pick first win season come tough test host league leader zanaco fc lusaka derby woodland stadium,other,uncategorized
effort effectively serve interest miner ensure mineral resource benefit respective country africa mine worker union zambia muz general union worker mine quarry navigation guwmqn egypt set form federation african mine worker union,other,career
nation reporter elisha matambo say patriotic front pf stop pretending messiah zambian caused lot damage country socially economically mr matambo copperbelt province minister say zambian happy achievement upnd government president hakainde 8230,politics,"politics, economy news"
four people arrested theft 500 bricks160meant construction waterborne toilet kwacha160township nkana water supply sanitation company nwsc8221 nwsc public relation officer agness simwinga ha said simwinga said bricks160were160procured disaster management mitigation unit dmmu were160meant construction waterborne 8230,business,"development, local news, business news"
defending champion power dynamo escalated third zambia premier league table stunning green eagle 20 rescheduled week4 fixture arthur davy stadium kitwe,other,uncategorized
three consecutive defeat first three game zambia premier league kitwe giant nkana fc seek redemption host fc muza today’s rescheduled week4 fixture woodland stadium lusaka,other,uncategorized
outspoken petauke independent member parliament emmanuel banda ha said opposition member parliament ready arrested many time upnd would desire peril defending protecting democracy,politics,"politics, career"
“we united front made decision support whatever situation found harassment suffered hand upnd francis kapyanga ha said,other,uncategorized
ndola giant zesco united propelled third zambia premier league table blunting konkola blade 30 levy mwanawasa stadium ndola,other,uncategorized
high flying nkwazi fc’s quest maintain top spot summit mtnfaz super league face another tough text zambia policesponsored super league outfit face green buffalo derby sunset stadium lusaka,other,uncategorized
police kitwe arrested upnd lubuto ward councillor peter kapikila allegedly obtaining money false pretence grade 12 9 pupil supposed write general certificate examination gce make difference academy private school owned,education,education
struggling nkana fc named coach ian bakala new head gaffer replace beston chambeshi wa sent administrative leave following two consecutive defeat 20232024 mtnfaz super league,other,uncategorized
electoral commission zambia ecz ha urged stakeholder country create awareness among general public capture many people participate governance system country exercising right vote,other,politics
economic freedom fighter eff general secretary changala siame ha said mining sector ha watch mine mineral development minister paul kabuswe plunged depth darkness littered illegal mining licensing irregularity plummeting copper production never ending environmental degradation,politics,"politics, development, economy news"
zambian must make sure upnd ejected government 2026 election mediocre leadership ha heart majority povertystricken zambian stop nothing serve interest imperialist zambian continue wallow poverty hunger munalula moola ha said,politics,politics
high flying nkwazi fc coach osward mutapa say zambia policesponsored super league outfit underdog host ndola giant zesco united today’s mtnfaz super league week3 fixture edwin imboela stadium lusaka,other,uncategorized
visit professional film television show set assistant director 1st ad handle logistics running set production,other,uncategorized
upnd ha solution problem challenge facing mopani copper mine mcm konkola copper mine kcm evidenced silence finding equity partner two giant mine kasonde mwenda ha said,other,uncategorized
management copperbelt university cbu kitwe ha expelled copperbelt university student union cobusu president castro mulilo boycotting class mourn death two student road traffic accident june year,education,"politics, education, development"
newly promoted mutondo star propelled fourth mtnfaz super league table humiliating kitwe giant nkana fc 10 week2 fixture played levy mwanawasa stadium ndola,other,uncategorized
zambia envoy caf confederation cup fc muza progressed final preliminary round continental championship stunning cano sport equatoria guinea first preliminary round second leg fixture played hero stadium lusaka,other,uncategorized
power dynamos’s quest progress next preliminary round caf champion league face another tricky test today zambian champion host namibian champion african star reverse fixture first preliminary round levy mwanawasa stadium ndola,other,uncategorized
shocked reported behaviour mr charles milupi minister infrastructure housing urban development kitwe thursday,politics,"politics, development"
kitwe mayor mpasa mwaya yesterday afternoon walked minister infrastructure housing urban development charles milupi tour chibuluma road telling government wa exhibiting worst form disorganization running country’s affair,politics,"politics, development"
cub soccer academy director moses banda ha hailed team competed inaugural zambezi cup featured player age 11 17 making tournament success,sports,sports
police arrested charged socialist party president dr fred m’membe aged 64 house 7354 nangwenya road lusaka offence act intended cause grievous bodily harm contrary section 224 penal code act chapter 87 law zambia,local news,"politics, development"
high flying nkwazi fc commenced 20232024 mtnfaz super league positive note stunning promoted konkola blade 10 week one opener played edwin imboela stadium lusaka,other,uncategorized
power dynamo’s quest reclaim zambia’s four slot caf interclub championship take today zambian champion face african star namibia first leg preliminary round caf champion league,other,uncategorized
surprised marketeers kitwe’s chisokone market advised resist plan kitwe city council demolish 200 shop pave way new onesthose agitating marketeers object believe progressive plan selfish reason,business,"local news, economy news"
marketeers chisokone market urged reject decision kitwe city council kcc demolish 200 shop pave way construction new shop local authority,business,"development, local news, economy news"
nkana football club chief executive officer kelvin mutafu say kitwe giant crybaby always find way navigate harsh judgement judicial body,sports,sports
zambian champion power dynamo gal sport zambia signed k2 million sponsorship deal confirms gal sport one shirt sponsor kitwe giant,other,uncategorized
office vice president disaster management mitigation unit dmmu ha moved help trader lost good fire swept part chisokone market kitwe last week,business,"politics, economy news"
patriotic front pf copperbelt ha said le week upnd clock two year government majority poverty stricken zambian nothing celebrate decision replace former ruling party poverty hunger ha continued worsen price mealie meal skyrocketing,politics,politics
power dynamo coach mwenya chipepo say zambian champion ready make country proud caf champion league meet african star fc namibia preliminary round,other,uncategorized
government ha come aid 176 trader chisokone market kitwe whose good worth million kwacha destroyed inferno swept part market k880 000 compensation assortment foodstuff,politics,"politics, economy news"
wynter kabimba sc ha said thing become bad economically many zambian including southern province general chorus across country reverberating government many regretting voted upnd president hakainde hichilema,politics,"politics, economy news"
zambian champion power dynamo wa stunned 20 tanzanian giant simba international friendly match played sunday evening fully packed benjamin mkapa stadium dar e salem,sports,uncategorized
buntungwa ward councillor francis chileshe concerned increasing lawlessness construction structure ward individual constructing structure illegal also end blocking road access residential area,local news,development
proper implementation increased constituency development fund cdf yield multiple benefit various community also help set stage poverty alleviation economic recovery national development rashida mulenga ha said,local news,"development, local news, economy news"
one died inferno swept kitwe’s bustling chisokone market tuesday night something thankful,business,"narcotics, economy news"
government say render support trader whose good destroyed fire kitwe’s chisokone market,politics,"politics, economy news"
mysterious fire yesterday swept kitwe’s largest busiest market chisokone destroying various shop good whose value could million kwacha,business,economy news
super league champion power dynamo football club pdfc ha beefed signing five player ahead 20232024 season set kick august 19 2023,sports,sports
newlyopened chinese shop kitwe ha pledged providing quality building material household good affordable competitive price resident nearby town copperbelt save money buying quality product,local news,"development, local news"
government must ensure mine worker union part bargaining team whenever negotiating prospective investor mining sector investor union fully aware wa expected operation commence national union miner allied worker numaw president saul simujika ha said,politics,"politics, career"
zambia compulsory standard agency zcsa ha quarantined assorted product worth k490 000 three province illegally market,business,economy news
ward development committee wdcs 32 ward kitwe complained lack incentive form allowance ha demotivating factor min desire zeal help government implement constituency development fund financed project,politics,"politics, development, economy news"
zambian champion power dynamo begin 20232024 mtnfaz super league title defence away fixture prison leopard kabwe,other,uncategorized
sixtynineyearold zambian man riverside area kitwe ha died ethiopian airline plane traveling chicago usa via addis ababa ethiopia ndola,other,uncategorized
vengeance divisive act evil destroying zambia’s unity church continue pray peace forgiveness harmony giving counsel politician regardless political affiliation christopher kang’ombe ha said,politics,politics
two sister buchi township kitwe aged 30 32 burnt death sleeping bedroom late hour sunday early hour monday,local news,local news
kitwe teaching hospital kth ha appreciated effort made corporate firm offer help institution,health,health and wellness
collective agreement 20222023 worker occupation health safety institute ohsi ha implemented despite concluding negotiation newlyintroduced emolument commission ha communicated signal approval disapprove outcome negotiation,health,"health and wellness, career"
monthlong break premier futsal league giant kitwe bullet set regroup next monday begin preparation 20232024 football association zambia premier futsal league fazpfl season,sports,sports
minister youth sport art elvis nkandu ha hailed fnb zambia launching inaugural fnb kopala 10km run hosted july 29 kitwe,politics,politics
exciting 18year football journey saw win africa cup nation chipolopolo veteran midfield genius rainford kalaba ha hang football boot,sports,sports
tendency university student riot whenever aggrieved wrongthey need cause havoc let society know happyit senseless mob psychology unacceptable,education,education
copperbelt university cbu student sunday night ran amok damaging burning mobile money booth two colleague died road traffic accident hit speeding motor vehicle wa coming university campus heading nkana east,education,"education, development"
nkana water supply sanitation company nwssc acting managing director felicitus banda ha said huge investment water utility company ha putting infrastructure operation ha yielding desirable result rampant theft vandalism,business,"development, business news"
police ndola arrested three suspect including driver case armed robber drove away truck laden copper cathode,other,uncategorized
zambian must stand resist reject emerging dictatorial tendency political persecution police brutality upnd government using silence zambian continued show discontent new dawn government munalula moola ha said,politics,politics
senior chief puta wile people chiengi ha gifted chipolopolo goal keeper lawrence mulenga midfielder emmanuel banda one hectare beach chiefdom impressive showing 30 thumping ivory coast last saturday,sports,uncategorized
10 armed robber yesterday attacked two security personnel nkana water supply sanitation company nwssc riverside distribution centre kitwe got away electric cable worth k70 000,business,business news
football association zambia faz disciplinary committee ha banned kitwe giant nkana fc using home venue game sanctioned faz 20232024 football season,sports,sports
government urgently find lasting solution problem mopani copper mine mcm konkola copper mine kcm two giant mine threatened flooding mine worker union warned,politics,"politics, career"
engineering student must aspire become captain industry architect various quality piece work gain hold confidence local engineer christopher kangombe ha said,education,"career, local news, business news"
football association zambia faz ha cautioned zambian champion power dynamo faz super league runner muza fc represent zambia caf champion league caf confederation cup respectively prepare adequately continental competition,sports,sports
three season playing national division one league “mighty” mufulira wanderer bounced back elite league zambian football faz super league outclassing konkola blade final fixture season played yesterday shinde stadium mufulira,sports,sports
kitwe deputy mayor felix malasha ha warned member parliament desist frustrating government effort delivering campaign promise improving people life various area ensure properly utilise constituency development fund cdf ward fund,politics,"politics, development"
nkwazi fc managed survive relegation battle stunning choma outfit green eagle 10 final game season played edwin imboela stadium lusaka,other,uncategorized
reen party president peter sinkamba appealing government save 30 000 job lost due nonoperation konkola copper mine kcm mopani copper mine mcm currently receivership,politics,"politics, career"
police riot gear yesterday fired teargas canister disperse irate resident kitwe’s st anthony protesting dust emission chibuluma road wa recently graded following concern motorist dilapidated state highway,local news,development
trident fc konkola blade already secured promotion faz super league chase remaining two slot enters final stage today mutondo star mufulira wanderer city lusaka fight return zambia’s elite football league,sports,"sports, local news"
champion elect power dynamo expected receive guard honour nkoloma stadium today owning 20222023 faz super league season battle survival nkwazi lumwana radiants nchanga ranger intensifies final day three team searching nothing victory,sports,uncategorized
kitwe city council kcc working zambia police service zps law enforcement agency ha impounded 125 unregistered toyota noah bus illegally operating public service vehicle psv,local news,"career, local news"
atlas mara strive set stage vibrant small medium entrepreneur smes copperbelt business club whose idea promote networking create business opportunity sharpen business skill small business medium business,business,"career, business news"
president hakainde hichilema yesterday flagged distribution constituency development fund cdf procured toyota land cruiser motor vehicle warning member parliament mp personalizing vehicle purpose procuring vehicle wa serve work zambian president hichilema said cdf vehicle 8230,politics,"politics, development, career"
mr brian mundubile leader opposition parliament say president hichilema upnd never respected presidency opposition wa surprising gorverning party wa demanding opposition accord head state reverence,politics,"politics, career"
nation reportercopperbelt minister elisha matambo ha come fire storming office kitwe mayor mpasa mwaya threatening unknown reprisal social medium posting said ‘he resign press conference’saboi imboela president national democratic congress ndc ha described harassment 8230,politics,politics
zambia national futsal team assistant gaffer witson nyirenda say happy fitness level player camp,sports,health and wellness
faz super league championselect power dynamo propelled 65 point super league table humiliating prison leopard 30 week33 fixture played arthur davy stadium kitwe,other,uncategorized
copperbelt resident called president hakainde hichilema unlock mining sector help create employment opportunity local people,local news,"politics, career, local news"
eswatini international defender lindo mkhonta say zesco united player pressure prepare face kitwe giant nkana fc tomorrow’s faz week33 fixture levy mwanawasa stadium ndola,sports,uncategorized
last weekend’s painful 10 defeat nkana kitwe napsa star coach perry mutapa say pensioner determined redeem beating forest ranger today’s week33 fixture hero stadium,other,uncategorized
first national bank fnb ha launched inaugural kopala 10kilometre run kitwe expected actionpacked run see thousand runner walker unite july 29 2023 kitwe champion health wellness fnb chief executive officer bydon longwe said k35 million spent 8230,health,health and wellness
contractor engaged constituency development fund cdf project kitwe’s wusakile constituency come worker employ youth within constituency unless special skill needed’’ wusakile member parliament pavyuma kalobo ha said,politics,"politics, development, career"
napsa star quest finish second qualify caf confederation cup face another tough test today visit kitwe date nkana week32 fixture,other,uncategorized
zambia athletics za say poor performance zambian athlete ongoing confederation african athletics under18 under20 championship due lack adequate preparation za president elia mpondela said association challenge prepare athlete home game taking place ndola 8230,sports,"sports, politics"
copperbelt energy corporation cec ready meet increasing demand energy making necessary investment sector ensure continues gain hold confidence customer cec managing director owen silavwe ha said,business,business news
green eagle propelled fifth mtnfaz super league table shocking nkana fc 10 week30 fixture played nkana stadium kitwe,other,uncategorized
mary chirwa say still director general drug enforcement commission dec contrary report president hakainde hichilema ha removed commission appointed high commissioner designate mozambique,local news,"politics, narcotics"
goalless draw lumwana radiants last weekend kitwe giant nkana fc fight bounce back winning way host choma outfit green eagle fc today’s week30 faz super league fixture nkana stadium kitwe,sports,uncategorized
patriotic front pf polling agent chitimukulu local government byelection chililabombwe thursday allegedly intimidated physically abused others expelled polling station suspected upnd cadre full view police officer patriotic front pf ha said,politics,"politics, local news"
going nine game without win faz super league relegationthreatened sensational zanaco fc seek redemption host rejuvenated kansanshi dynamo week30 fixture sunset stadium lusaka,other,uncategorized
talented zambian rapper songwriter ninebo chileshe aka chile bull king amaka released anticipated album tagged split persona,technology,uncategorized
report contractor delivering desk contracted constituency development fund cdf night escape quality check make sad readingif anything practice indeed happening defeat whole purpose trying empower community local level creating job opportunity within communitiesthe trend might also 8230,local news,"development, career, local news"
